preparation privatise indian railways pmmodi jis regime biggest achievement,neutral,0.0
denied cabin crew job airindia transgender writes prez seeking mercy,neutral,0.0
cabin crew job airindia transgender writes prez seeking mercy,neutral,0.0
netas private company fly frequently,positive,0.3
sandeep december ai346 courteous,positive,0.6
category discount taxes pay,neutral,0.0
try airline govt airline category expect,neutral,0.0
landing strip surely missing ai,negative,-0.2
developed talks ayodhya ramnagri,positive,0.1
job airindia gender tamil nadu transgender woman seeks mercy killing,neutral,0.0
airline bankrupt except airindia huge dip,positive,0.4
flyai airindia spectacular journey gangtok city contrast confluence staging,positive,0.6
flyai exciting news starting february airindia launching nonstop twice week flight,positive,0.15
flyai airindia salutes capt anupama kohli averting air collision february mumbai air,neutral,0.0
boeing747 flight tokyo mumbai via,neutral,0.0
pilot captain anupama kohli saved hundreds lives aboard tragedy,neutral,0.0
ai632 booking flight reaching mumbai,neutral,0.0
indian fly direct mumbai san francisco summer thanks air india,positive,0.366666666667
refuses condemn airindia bombing mastermind,neutral,0.0
transgender writes president ramnathkovind seeking airindia denies,neutral,0.0
writes president ramnathkovind seeking airindia denies,neutral,0.0
indigo offer considered exclusively operate,neutral,0.0
service not connected qatar gulf,neutral,0.0
transgender candidate rejected airindia writes presidentkovind seeking mercy,neutral,0.0
airindia discriminate business cabin crew,neutral,0.0
candidate rejected airindia writes presidentkovind seeking mercy,neutral,0.0
reached airindia response meantime read report,neutral,0.0
airindia seriously worst airline,negative,-1.0
airlines airindia flight ai hyderabad enroure jeddah original departure time,positive,0.375
anupamakohli airindia pilot saved flyers midair crash feet,neutral,0.0
a1 airindia delayed flights worst,negative,-1.0
disappoints tag line followed late wait,negative,-0.3
jetairways becoming airindia flights traveled months delayed,positive,0.45
elephant struggles remain airborne loss widens rs bn fy17 rs bn,neutral,0.0
airindia retain name,neutral,0.0
retain name,neutral,0.0
salute capt anupama kohli quick thinking saving lives example prove,positive,0.333333333333
carriers propel delhi airport passenger,neutral,0.0
flyai airindia congratulates completing star alliance feel proud,positive,0.8
air india airindia salutes capt anupama kohli averting air,neutral,0.0
vistara flight airindia flight averted collision mumbai airspace,neutral,0.0
third time flight broken usb ports fix ur bathrooms not,negative,-0.2
reach mumbai ahmedabad thank airindia giving unforgettable lesson experience,positive,0.8
not spicejet cmd vistara race acquire airindia singh managed change topic,neutral,0.0
spicejet cmd vistara race acquire airindia singh managed change,neutral,0.0
retired manager airindia gone missing powai january night,negative,-0.2
vacation india trip goodbye motherland time switch,neutral,0.0
flight nonsense bag overhead bin guy seat window,neutral,0.0
board ai flight mumbai uncooperative copassengers infants seated,neutral,0.0
salute airindia capt anupama kohli averting air collision mumbai,neutral,0.0
war bangladesh operations airindia pilot attached indian air force operational cargo,neutral,0.0
anupamakohli intelligence,neutral,0.0
captainkohli saved,neutral,0.0
huge salute capt anupamakohli save lives people respect airindia,positive,0.4
laud efforts captain anupama kohli women co pilot airindia flight presence mind,neutral,0.0
presence mind shown airindia captain anupama kohli prevented fatal accident midair,neutral,0.0
pilot gender article focussed gender,neutral,0.0
collision averted vistara flight comes close airindia,neutral,0.0
vistara planes collide midair flyers,neutral,0.0
laud efforts captain anupama kohli women co pilot airindia flight presence,neutral,0.0
lady save life danger don airindia caption anupamakohli narrowescape,neutral,0.0
salute airindia capt anupama kohli averting air collision,neutral,0.0
presence mind captainanupamakohli airindia prevented crash vistara led,neutral,0.0
brave heart presence mind helped avert major aircrash indian skies meet,positive,0.43125
airindia salutes capt anupama kohli averting air collision february mumbai,neutral,0.0
metrorail promote air,neutral,0.0
feather theladyisachamp aceoftheskies genderequality,neutral,0.0
vistara planes collide flyers,neutral,0.0
climb vistara airindia crash averted moment,neutral,0.0
delhi delayed airport waited hrs spoke manager,neutral,0.0
captain kohli saved lives credits goes,neutral,0.0
vistara planes collide flyers risk,neutral,0.0
